TPSA,LogP,CSP3,MW,HBA,Num_Rot_Bond,Num_Aromatic_Rings,HBD,Num_Rings,Molecule_Name
145.14,4.384400000000004,0.6086956521739131,595.5230000000003,12,5,2,2,3,CMNPD14777
124.91,5.269500000000005,0.6086956521739131,579.5240000000002,11,5,2,1,3,CMNPD22286
176.48,2.658660000000001,0.2222222222222222,508.47900000000027,10,5,2,3,3,CMNPD29071
176.48,3.275500000000001,0.27586206896551724,536.5330000000002,10,5,2,3,3,CMNPD29082
130.38,0.3873000000000018,0.35294117647058826,342.4269999999999,4,9,3,5,3,CMNPD21779
174.83999999999995,-0.031,0.3181818181818182,516.5360000000002,11,8,3,2,3,CMNPD19815
174.83999999999995,-0.031,0.3181818181818182,516.5360000000002,11,8,3,2,3,CMNPD19815
45.75,4.428020000000004,0.5,312.4569999999999,2,8,2,1,2,CMNPD25731
95.45,2.383599999999999,0.23529411764705882,536.0139999999999,4,6,2,2,2,CMNPD8269
124.91,4.703000000000004,0.6086956521739131,545.0790000000003,11,5,2,1,3,CMNPD22287
162.64999999999998,3.772840000000009,0.27586206896551724,537.5410000000003,10,6,3,3,3,CMNPD29084
185.62999999999997,-0.6664,0.25,456.4150000000001,11,6,3,4,3,CMNPD30281
118.55,0.6673999999999999,0.26666666666666666,348.384,7,4,1,4,3,CMNPD3610
78.46000000000001,4.406200000000002,0.6,348.46299999999997,4,12,1,1,1,CMNPD30110
170.81999999999996,2.5013000000000027,0.4,490.5050000000002,10,11,2,5,2,CMNPD30598
288,-4.7434,0.375,919.2500000000001,6,10,3,12,5,CMNPD23816
147.23999999999998,3.707600000000003,0.3333333333333333,512.5590000000002,9,6,1,3,2,CMNPD9991
220.17999999999995,-2.4648,0.4,467.3590000000001,13,5,1,5,3,CMNPD22357
262.41999999999996,0.018400000000002303,0.125,712.6780000000005,16,13,6,2,6,CMNPD30167
78.46000000000001,4.796300000000002,0.6190476190476191,362.49,4,13,1,1,1,CMNPD30108
114.36,4.552200000000003,0,449.26399999999995,5,3,4,4,5,CMNPD10012
154.75,1.4200999999999997,0.3333333333333333,470.4780000000002,9,5,1,4,3,CMNPD18668
114.36,3.789700000000003,0,370.36799999999994,5,3,4,4,5,CMNPD10013
65.98,4.913820000000005,0.5454545454545454,356.51,3,10,2,2,2,CMNPD25732
228.74999999999991,2.3098000000000005,0.2,829.0400000000002,14,11,2,1,2,CMNPD15869
127.12000000000002,2.2911000000000006,0.3,373.3810000000001,7,7,2,3,2,CMNPD26200
81.08000000000001,4.698200000000004,0.2727272727272727,617.1560000000002,5,9,3,2,3,CMNPD11189
188.94999999999993,3.2607000000000035,0.125,601.5400000000005,12,11,3,3,4,CMNPD1625
157.32999999999998,2.1767999999999996,0.41379310344827586,554.5960000000003,10,9,1,3,3,CMNPD18661
157.32999999999998,1.1506000000000007,0.34615384615384615,512.5150000000002,10,7,1,3,3,CMNPD18659
78.46000000000001,4.652200000000002,0.6190476190476191,362.49,4,12,1,1,1,CMNPD30107
82.06000000000002,2.925500000000001,0.5555555555555556,336.384,6,7,1,1,2,CMNPD30087
136.43,1.9719000000000015,0.14814814814814814,488.47200000000026,8,7,3,2,4,CMNPD22600
77.38000000000001,13.60449999999999,0,1030.7720000000004,6,8,5,2,5,CMNPD19895
43.370000000000005,4.666000000000004,0.4,314.42499999999995,3,8,1,0,1,CMNPD1768
